title,type,address,rating
Swissotel Красные Холмы ,Гостиницы,"​Riverside Towers, Космодамианская набережная, 52 ст6, Москва",4.5
Edge Seligerskaya-Moscow ,Гостиничный комплекс,"​Коровинское шоссе, 10, Москва",4.5
Minima hotels ,Сеть гостиниц,"​Садовая-Спасская улица, 19 к3, Москва",4.7
Shelterz ,Мини-отель,"​Большая Семёновская улица, 32 ст3, Москва",4.4
Luciano SPA&hotel ,Региональный отдел продаж,"​Котельническая набережная, 29, Москва",
Звезда Курская ,Гостиницы,"​Улица Земляной Вал, 14-16 ст1, Москва",
Minima hotels ,Сеть гостиниц,"​Улица Верхняя Масловка, 27, Москва",4.6
Hampton by Hilton Moscow Strogino ,Гостиница,"​МФК Орбита-2, улица Кулакова, 20 к1, Москва",4.4
Spectroom hotels Mint на Тишинке ,Сеть отелей,"​Средний Тишинский переулок, 24/26, Москва",4.3
Mercure Москва Бауманская ,Гостиница,"​Бауманская улица, 54 ст1, Москва",4.7
Максима Панорама ,Сеть отелей,"​БЦ Панорама, улица Мастеркова, 4, Москва",4.5
Adagio ,Апарт-отель,"​Ibis Moscow Centre Bakhrushina, улица Бахрушина, 11, Москва",4.7
Qube capsule hotels ,Хостел,"​БЦ Россо Рива, Шлюзовая набережная, 4, Москва",4.3
Elux Hotel ,Гостиницы,"​Волгоградский проспект, 146, Москва",4.1
Сеть отелей,Сеть отелей,"​БЦ Спектр, Воронцовская улица, 20, Москва",
Minima hotels ,Сеть гостиниц,"​Волгоградский проспект, 113 к5, Москва",4.7
Minima hotels ,Сеть гостиниц,"​Ленинградский рынок, Часовая улица, 11, Москва",4.3
Shelterz ,Мини-отель,"​Большая Тульская улица, 2, Москва",3.3
Максима Ирбис ,Сеть отелей,"​Гостиничная улица, 1, Москва",4.3
Shelterz ,Мини-отель,"​Проспект Мира, 184 к1, Москва",4.2
Принц парк отель ,Гостиничный комплекс,"​Новоясеневский проспект, 1Б к1, Москва",3.9
Adagio ,Апарт-отель,"​ТГК Киевский, Киевская улица, 2, Москва",4.3
Minima hotels ,Сеть гостиниц,"​Головинское шоссе, 8 к2а, Москва",4.6
"Можайка, 9 ",Мини-отель,"​Можайское шоссе, 9, Москва",3.7
AZIMUT Сити Отель Комсити Москва ,Гостиницы,"​22 километр Киевское шоссе, 6а ст3, Москва",5.0
Максима Славия ,Сеть отелей,"​Ярославское шоссе, 44, Москва",4.4
Спектр-Отель,Спектр-Отель,"​Спектр, улица Усачёва, 35 ст1, Москва",
Кронотель ,Гостиница,"​Ленинградское шоссе, 61 ст4, Москва",4.0
Звезда Юго-Западная ,Гостиницы,"​Проспект Вернадского, 109, Москва",4.3
Hotels&Resorts ,Туристическое агентство,"​Ветошный переулок, 9, Москва",
101Hotels.com ,Сервис бронирования отелей и загородного отдыха,"​Пресненская набережная, 10 ст2, Москва",4.9
Vnukovo Village Spa ,SPA-комплекс,"​Vnukovo Village, Киевская улица, 4, д. Картмазово, Москва",5.0
Amaks Hotels&Resorts ,,"​Варшавское шоссе, 37а, Москва",1.0
Vnukovo Village ,Загородный гостиничный комплекс,"​Vnukovo Village, Киевская улица, 4, д. Картмазово, Москва",4.1
Edge Vinogradovo-Moscow ,Гостиница,"​Дмитровское шоссе, 171, Москва",4.4
Старая Можайка ,Отель,"​Посёлок Новоивановское, 93, рп. Новоивановское, Одинцовский городской округ, Московская область",3.5
Мэриан Холл ,Гостиничный комплекс,"​Квартал Щитниково, 36, Балашиха, Московская область",4.1
Hotels.ru ,Служба бронирования отелей,​Москва,
VisualHotels ,Компания по организации панорамных съемок,​Москва,
Skypoint Delta ,Гостиница,"​БП Skypoint, Международное шоссе, 28Б ст3а, Москва",4.2
Крошка Енот ,Гостиница,"​Волоколамское шоссе, 6, Красногорск, Московская область",4.3
Galla Hotel ,Гостиницы,"​Квартал Щитниково, 60, Балашиха, Московская область",4.2
DoubleTree by Hilton Moscow-Vnukovo Airport ,Гостиница,"​2-я Рейсовая улица, 2, Москва",4.4
Марианна ,Гостиница,"​Ленинградское шоссе, 96 к1, Москва",1.0
Best eastern hotels ,Бронирование гостиниц,"​БЦ Полларс, Дербеневская набережная, 11 к В, Москва",
Heliopark hotels&resorts ,Аренда помещений,"​4-й Добрынинский переулок, 8, Москва",
Cosmos Moscow Sheremetyevo Airport Hotel ,Гостиница,"​Международное шоссе, 1, Химки, Московская область",4.6
